"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"WK02"	"WK02_01"	"SD01_01"	"SD02_01"	"SD03"	"EX01"	"EX01_07"	"EX02"	"EX02_07"	"EX03"	"EX03_07"	"EX04"	"EX04_07"	"EX05"	"EX05_07"	"EX06"	"EX06_07"	"EX07"	"EX07_07"	"EX08"	"EX08_07"	"EX09"	"EX09_07"	"EX10"	"EX10_07"	"EX11"	"EX11_07"	"EX12"	"EX12_07"	"EX13"	"EX13_07"	"EX14"	"EX14_07"	"EX15"	"EX15_07"	"EX16"	"EX16_07"	"EX17"	"EX17_07"	"EX18"	"EX18_07"	"EX19"	"EX20"	"EX20_07"	"EX21"	"EX21_07"	"EX22"	"EX22_07"	"EX23"	"EX23_07"	"EX24"	"EX25"	"EX26"	"EX26_07"	"EX27"	"EX27_07"	"EX28"	"EX28_07"	"EX29"	"EX29_07"	"EX30"	"EX30_07"	"EX31"	"EX31_07"	"EX32"	"EX32_07"	"EX33"	"EX33_07"	"EX34"	"EX34_07"	"EX35"	"EX35_07"	"EX36"	"EX36_07"	"EX37"	"EX37_07"	"EX38"	"EX38_07"	"EX39"	"EX39_07"	"EX40"	"EX40_07"	"EX41"	"EX41_07"	"EX42"	"EX42_07"	"EX43"	"EX43_07"	"EX44"	"EX44_07"	"EX45"	"EX45_07"	"EX46"	"EX46_07"	"EX47"	"EX47_07"	"EX48"	"EX48_07"	"EX49"	"EX49_07"	"EX50"	"EX50_07"	"EX51"	"EX51_07"	"EX52"	"EX53"	"EX53_07"	"EX54"	"EX54_07"	"EX55"	"EX55_07"	"EX56"	"EX56_07"	"EX57"	"EX57_07"	"EX58"	"EX58_07"	"EX59"	"EX59_07"	"EX60"	"EX60_07"	"EX61"	"EX61_07"	"EX62"	"EX63"	"EX63_07"	"EX64"	"EX65"	"EX65_07"	"EX66"	"EX67"	"EX67_07"	"EX68"	"EX68_07"	"EX69"	"EX69_07"	"EX70"	"KO01"	"KO01_07"	"KO02"	"KO02_07"	"KO03"	"KO03_07"	"KO04"	"KO04_07"	"KO05"	"KO05_07"	"KO06"	"KO06_07"	"KO07"	"KO07_07"	"KO08"	"KO09"	"KO10"	"KO10_07"	"KO11"	"KO12"	"KO13"	"KO13_07"	"KO14"	"KO14_07"	"KO15"	"ZF01_CP"	"ZF01x01"	"ZF01x02"	"ZF01x03"	"ZF01x04"	"ZF01x05"	"ZF01x06"	"ZF01x07"	"ZF01x08"	"ZF01x09"	"ZF01x10"	"ZF01x11"	"ZF01x12"	"ZF01x13"	"ZF01x14"	"ZF01x15"	"ZF01x16"	"ZF01x17"	"ZF01x18"	"ZF01x19"	"ZF01x20"	"ZF01x21"	"ZF01x22"	"ZF01x23"	"ZF01x24"	"ZF01x25"	"ZF01x26"	"ZF01x27"	"ZF01x28"	"ZF01x29"	"ZF01x30"	"ZF01x31"	"ZF01x32"	"ZF01x33"	"ZF01x34"	"ZF01x35"	"ZF01x36"	"ZF01x37"	"ZF01x38"	"ZF01x39"	"ZF01x40"	"ZF01x41"	"ZF01x42"	"ZF01x43"	"ZF01x44"	"ZF01x45"	"ZF01x46"	"ZF01x47"	"ZF01x48"	"ZF01x49"	"ZF01x50"	"ZF01x51"	"ZF01x52"	"ZF01x53"	"ZF01x54"	"ZF01x55"	"ZF01x56"	"ZF01x57"	"ZF01x58"	"ZF01x59"	"ZF01x60"	"ZF01x61"	"ZF01x62"	"ZF01x63"	"ZF01x64"	"ZF01x65"	"ZF01x66"	"ZF01x67"	"ZF01x68"	"ZF01x69"	"ZF01x70"	"ZF01x71"	"ZF01x72"	"ZF01x73"	"ZF01x74"	"ZF01x75"	"ZF01x76"	"ZF01x77"	"ZF01x78"	"ZF01x79"	"ZF01x80"	"ZF01x81"	"ZF01x82"	"ZF01x83"	"ZF01x84"	"ZF01x85"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
97			"base"	"interview"	2021-02-23 12:20:32	1	T	"31"	"Deutsch "	1	4		4		4		4		1		4		4		4		4		4		2		4		4		4		4		4		1		4		2	2		4		1		1		1	1	1		4		2		4		2		2		2		3		3		4		1		3		3		6		2		3		4		1		1		4		4		2		1		1		3		1		2	1		1		1		1		1		1		1		1		1		1	1		1	1		2	1		4		4		1	6		3		4		2		1		1		5		4	3	4		4	4	2		4		3	58	58	38	81	13	46	52	68	22	37	27	64	24	55	3	60	40	23	49	1	16	74	72	29	35	85	79	19	5	43	66	9	62	33	11	6	15	25	39	21	12	44	80	75	42	78	48	31	56	34	63	17	82	4	7	50	20	70	76	41	59	77	32	47	69	53	14	28	2	8	51	30	57	36	83	73	65	71	26	54	61	45	18	84	67	10	63	14	7	3	31	3	3	2	20	3	20	3	6	3	43	33	5	18	7	18	28	23	15	33	16	23	3	10	109	5	70	2	25	47	7	16	47	12	23	92	27	26	22	4	16	24	26	75	59	101	20	32	13	22	47	14	14	37	11	106	20	17	4	119	18	21	13	68	10	21	23	17	20	11	5	11	4	5	5	3	3	6	31	4	21	17	3	5	414		2021-02-23 12:55:45	T	F	88	88	0	0	0.5	4
98			"base"	"interview"	2021-02-23 12:20:35	1	T	"61"	"deutsch"	1	1		3		4		4		7	"ruhe"	4		3		3		7	"eine Frage"	4		7	"es fällt was ins Wasser"	4		3		4		7	"Überraschung"	4		2		7	"etwas Ekliges"	3	3		7	"unappetitlich"	3		1		1	1	1		2		2		1		2		1		1		5		7	"Durcheinander"	5		3		3		2		4		2		4		4		3		3		7	"Person"	4		2		1		1		3		1		1	1		1		1		1		1		2		1		3		1		1	2		1	2		2	1		7	"Angeber"	3		1	6		7	"Farbe"	7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	50	63	54	26	84	11	9	66	82	23	19	39	5	68	48	83	74	75	69	77	18	71	35	70	60	17	21	62	42	44	57	80	47	1	40	15	4	29	78	53	7	76	64	34	32	2	8	56	43	55	10	36	33	72	28	58	25	59	51	27	22	73	49	12	45	20	85	30	3	52	13	14	41	38	65	79	6	37	46	16	67	50	31	61	24	81	17	13	4	7	5	4	29	4	5	3	23	4	21	4	8	4	18	4	8	26	7	4	18	4	5	3	5	8	4	4	6	5	3	5	4	15	4	6	6	3	3	3	3	7	4	4	18	4	5	6	3	4	5	3	3	10	4	3	4	5	4	3	5	4	8	3	2	9	2	16	3	4	5	10	12	2	6	4	6	3	5	15	2	4	4	20	3	5	462		2021-02-23 12:30:35	T	F	88	88	0	0	0.92	7
99			"base"	"interview"	2021-02-23 12:20:46	1	T	"36"	"Deutsch"	2	4		4		7	"Geschmack"	4		1		4		2		4		4		4		1		1		4		4		1		4		2		3		2	2		1		1		1		1	1	1		3		2		4		2		2		1		4		2		7	"Struktur"	1		3		2		4		2		2		4		2		2		4		4		4		2		1		2		2		1	1		1		1		1		1		2		1		1		1		1	2		1	2		1	1		4		4		1	6		3		7	"Geruch"	2		1		1		7	"Haptisches"	4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	52	18	50	46	71	52	11	54	22	27	6	3	81	21	57	74	33	9	29	7	47	8	45	84	19	61	20	40	41	79	12	15	76	56	23	44	60	14	55	63	72	17	64	53	68	58	10	75	82	28	30	31	70	59	36	4	5	80	78	42	1	65	51	26	25	85	38	66	69	37	49	73	48	35	16	83	2	24	32	34	39	43	13	62	77	67	11	15	3	5	9	7	4	6	4	5	6	4	3	2	3	3	2	4	9	17	4	4	4	5	4	3	2	3	4	5	8	3	2	3	4	4	13	5	5	4	4	4	10	3	3	5	11	5	3	4	4	11	6	3	7	7	3	6	2	5	5	2	3	5	3	1	4	3	3	3	2	2	8	2	14	4	3	4	24	3	3	8	4	3	4	10	4	3	417		2021-02-23 12:28:20	T	F	88	88	0	0	1.1	11
100			"base"	"interview"	2021-02-23 12:20:47	1	T	"40"	"deutsch"	2	4		4		4		4		4		4		4		4		4		4		1		4		4		4		2		4		4		4		2	2		4		1		1		1	1	2		4		1		4		4		4		1		6		4		5		2		4		4		4		2		1		4		1		4		4		4		1		2		1		4		1		2	1		1		2		1		1		1		2		1		1		1	1		1	1		2	2		4		2		1	5		3		7	"einen Geruch"	2		1		1		5		4	5	7	"einen Geschmack"	5	4	2		7	"ein Geschmack"	3	55	64	74	46	55	4	17	79	1	69	43	66	12	52	22	85	16	62	23	50	54	61	36	82	80	45	65	19	57	81	84	76	41	20	56	29	73	42	72	37	27	7	60	21	75	71	48	38	34	44	28	24	26	30	40	2	15	47	32	31	14	11	53	8	67	63	18	13	25	3	35	78	58	70	10	51	68	83	5	9	6	77	59	49	39	33	22	9	4	3	5	7	5	5	3	4	3	4	5	7	3	5	3	4	8	4	4	12	4	7	4	3	3	4	4	6	6	4	9	9	17	3	5	5	6	6	5	4	5	4	5	5	18	4	4	4	4	5	3	4	5	4	12	6	5	24	3	3	3	7	5	6	5	4	2	3	4	5	3	3	9	5	3	22	3	4	3	27	3	4	3	9	3	3	468		2021-02-23 12:29:28	T	F	88	88	0	0	0.96	6
101			"base"	"interview"	2021-02-23 12:20:51	1	T	"34"	"deutsch"	2	4		4		4		4		4		4		4		4		4		4		1		4		2		4		1		4		4		4		2	2		4		1		4		4	1	7	"ein Geräusch"	4		2		4		2		2		1		3		4		3		4		4		4		4		3		4		4		1		3		4		4		2		4		1		3		3		2	1		1		7	"ein Geräusch"	4		1		1		4		4		1		1	4		1	2		4	1		4		4		1	6		3		7	"Geruch"	2		7	"ein Geräusch"	7	"ein Geräusch"	5		4	3	7	"ein Geschmack"	5	4	2		7	"ein Geschmack"	3	51	47	70	13	81	12	17	36	78	62	77	11	69	22	73	54	8	49	14	6	56	20	41	84	50	33	57	61	40	9	7	28	18	30	76	16	32	67	24	71	27	34	60	19	51	44	55	26	68	4	10	46	63	75	43	58	52	25	53	21	65	15	2	80	45	83	29	35	5	37	23	79	1	72	42	64	82	85	38	66	74	39	31	59	3	48	3	10	6	8	3	3	2	2	3	3	3	1	3	33	6	3	4	4	3	3	4	9	2	4	2	2	3	6	3	5	4	4	3	4	2	2	4	8	2	3	2	2	3	4	12	2	3	4	9	5	4	6	3	4	5	3	10	3	3	6	2	7	4	3	3	3	3	6	2	4	5	4	2	4	10	5	5	10	10	4	8	11	18	3	4	9	3	2	380		2021-02-23 12:28:00	T	F	88	88	0	0	1.23	18
102			"base"	"interview"	2021-02-23 12:20:56	1	T	"40"	"deutsch"	1	4		1		4		4		1		4		4		4		4		4		2		4		4		4		1		4		4		4		2	2		4		1		1		1	1	1		4		2		4		2		2		1		3		3		4		2		4		2		4		2		3		4		3		3		3		4		2		2		1		3		4		2	1		1		2		1		3		1		1		1		3		1	2		1	2		2	1		4		4		1	6		3		7	"geruch"	2		1		4		4		4	3	7	"Geschmack"	5	4	2		7	"geschmack"	3	54	10	61	68	36	46	74	51	80	78	63	31	35	60	1	32	37	72	30	82	14	2	43	15	62	53	76	23	4	33	17	27	41	55	9	6	38	64	22	52	71	45	79	66	16	69	7	20	58	47	49	59	65	34	28	70	26	13	29	83	44	11	54	48	3	56	84	77	18	73	50	42	25	12	81	67	39	8	24	40	19	5	21	57	85	75	12	14	3	7	3	2	5	4	3	2	3	9	2	3	2	3	20	3	3	7	2	3	2	3	5	3	4	4	2	3	4	3	3	5	4	3	3	4	6	3	3	3	5	4	4	3	6	6	3	6	4	3	1	5	4	3	3	3	3	3	6	3	5	6	2	3	2	3	2	3	3	3	3	4	10	4	3	4	4	4	4	15	2	2	3	12	3	3	360		2021-02-23 12:27:11	T	F	88	88	0	0	1.26	17
103			"base"	"interview"	2021-02-23 12:21:01	1	T	"45"	"Deutsch"	1	4		4		4		4		1		4		4		4		7	"sich wundern"	4		1		4		4		4		2		4		4		4		5	2		4		2		1		1	1	1		3		3		4		2		2		1		3		3		3		1		3		2		4		2		4		4		3		3		4		4		2		1		1		4		1		2	1		1		1		1		1		2		2		1		1		1	2		1	2		2	1		4		4		1	6		3		4		2		1		1		5		4	3	4		5	4	2		4		3	53	56	21	36	50	55	24	51	28	33	11	59	31	35	71	19	57	18	20	41	38	44	9	42	29	68	40	25	37	27	47	78	85	30	69	16	52	61	17	81	77	2	46	32	39	49	64	70	8	23	60	13	63	58	5	26	65	22	79	12	76	80	34	14	75	15	1	7	84	82	66	3	53	10	62	43	72	54	73	67	83	6	74	45	48	4	5	14	6	7	7	3	11	8	7	10	23	4	3	2	5	5	7	5	8	3	4	3	12	10	1	4	7	3	14	5	6	3	13	4	7	3	4	7	5	5	2	9	4	5	7	8	6	4	2	6	4	6	4	6	4	3	5	11	3	4	4	3	3	5	4	3	6	4	2	8	5	3	3	5	5	4	4	5	3	4	4	9	3	3	3	13	4	3	455		2021-02-23 12:29:12	T	F	88	88	0	0	0.99	8
104			"base"	"interview"	2021-02-23 12:21:18	1	T	"24"	"Deutsch"	1	1		4		4		4		1		4		4		4		4		2		1		4		4		7	"Schlecht"	1		7	"Schlecht"	4		7	"Eklig"	6	2		4		1		1		4	1	4		1		2		1		4		1		1		3		4		5		1		3		6		7	"Nicht ganz dicht"	4		2		7	"Nicht wissen was ist"	1		4		6		7	"Komische Wahrnehmung "	4		1		1		4		1		5	1		1		1		1		1		6		3		1		1		3	2		2	4		2	1		4		2		1	6		3		7	"Geruch"	2		1		1		5		4	3	4		5	4	2		4		3	57	63	30	46	5	12	55	66	39	52	84	16	80	76	45	15	13	10	9	68	60	77	85	64	67	32	48	58	11	53	28	14	17	34	42	69	47	43	40	54	31	61	71	7	33	74	20	18	3	19	50	37	78	36	27	73	25	62	23	22	79	2	51	35	8	83	72	49	75	56	4	44	81	82	59	41	29	1	65	57	38	6	21	24	70	26	2	9	2	4	4	2	7	1	2	3	7	4	7	12	5	13	8	18	7	7	4	4	5	4	3	3	3	4	3	4	3	20	4	5	3	3	3	6	14	4	12	4	5	8	4	5	8	29	6	5	2	5	2	13	3	5	5	2	4	3	4	2	5	7	6	3	3	11	2	3	5	3	3	2	19	2	3	4	7	3	3	7	2	4	2	6	2	2	385		2021-02-23 12:29:20	T	F	88	88	0	0	1.15	17
105			"base"	"interview"	2021-02-23 12:21:21	1	T	"31"	"Deutsch"	1	4		4		4		3		1		1		4		4		4		1		1		4		1		4		1		4		4		4		6	2		3		1		1		2	1	1		2		2		3		2		2		1		6		4		5		4		3		2		3		2		1		4		1		4		3		3		2		2		3		2		1		2	1		3		3		3		1		2		4		1		1		1	3		1	2		1	1		4		4		4	6		3		4		2		1		3		5		4	6	4		5	3	2		3		3	61	44	43	33	2	12	30	39	72	20	32	35	58	76	66	55	26	13	36	46	49	38	77	81	25	70	27	51	5	56	59	50	53	47	23	73	85	34	69	6	15	18	41	4	74	31	71	16	65	29	48	24	60	28	7	40	61	3	37	11	1	45	79	80	9	19	75	84	17	14	68	82	67	54	78	22	63	8	64	52	57	62	83	42	21	10	39	17	2	5	2	3	6	2	4	3	4	2	3	7	8	5	5	3	5	3	4	5	4	3	3	6	2	4	5	6	4	8	4	7	16	7	12	5	5	4	6	4	5	3	10	10	7	6	4	8	4	8	7	3	7	3	8	3	4	7	8	5	3	3	3	2	3	4	3	4	5	6	5	8	5	3	3	4	4	3	4	8	3	4	3	3	2	6	476		2021-02-23 12:29:17	T	F	88	88	0	0	1.03	9
106			"base"	"interview"	2021-02-23 12:21:31	1	T	"20"	"Deutsch"	2	4		4		4		4		1		4		2		4		4		4		1		4		4		4		1		7	"Geschmack"	4		4		2	2		4		1		3		1	1	1		2		1		1		2		2		1		3		3		6		2		3		4		4		2		6		4		4		3		3		4		2		2		1		4		3		6	3		1		1		1		1		1		1		3		1		1	2		2	2		1	1		4		2		1	6		3		7	"Geruch"	2		1		4		5		4	6	4		5	4	2		7	"Geschmack"	3	59	4	10	34	39	69	5	19	15	3	6	45	72	18	8	53	41	50	24	81	52	66	75	51	67	47	64	44	49	80	35	13	9	57	59	76	7	2	77	33	43	48	83	37	74	30	62	28	78	26	46	58	23	82	12	29	56	25	70	36	14	17	63	31	11	55	85	22	42	73	54	61	1	38	84	40	20	27	71	79	16	60	21	65	32	68	8	9	4	2	4	7	3	4	2	3	22	6	3	3	3	4	5	10	3	3	4	4	5	4	4	5	2	2	3	2	5	4	6	4	5	5	5	5	3	3	6	3	5	2	3	5	6	4	2	13	5	7	4	3	5	3	1	3	2	3	6	2	2	2	3	5	6	4	4	5	5	2	3	3	11	2	2	3	4	2	2	5	3	2	3	9	3	3	361		2021-02-23 12:27:50	T	F	88	88	0	0	1.25	17
107			"base"	"interview"	2021-02-23 12:21:52	1	T	"50"	"deutsch"	1	4		4		1		4		1		4		1		4		4		4		2		4		4		4		3		3		2		3		6	2		4		1		1		1	1	4		4		2		3		2		2		1		3		3		3		4		3		2		4		2		4		4		1		6		4		4		2		1		1		4		1		3	1		2		3		1		1		3		3		1		1		1	2		1	2		1	1		4		4		1	6		3		4		2		1		1		6		4	6	4		5	4	2		4		3	60	17	25	46	38	63	62	81	20	68	70	4	60	14	9	50	19	84	55	10	26	41	42	74	59	21	5	11	30	8	75	33	54	66	35	36	34	23	24	56	49	37	31	15	73	45	28	18	16	51	43	57	80	47	83	67	61	78	76	85	22	77	2	48	12	79	52	64	44	39	82	3	7	13	29	32	40	58	1	53	72	71	69	65	6	27	7	9	7	3	6	3	4	6	5	8	7	3	3	3	2	4	8	4	19	5	4	3	8	5	4	4	4	6	12	6	8	7	5	4	8	5	5	9	4	7	4	5	5	6	3	7	8	7	5	6	6	4	5	4	3	4	6	4	6	3	8	3	4	5	8	2	3	4	3	6	8	6	3	3	5	6	3	3	4	2	4	5	3	5	3	9	2	3	443		2021-02-23 12:29:31	T	F	88	88	0	0	0.98	7
108			"base"	"interview"	2021-02-23 12:22:05	1	T	"24"	"Deutsch"	1	1		1		4		1		3		4		4		4		4		4		1		1		4		4		1		1		4		1		6	2		1		3		1		4	1	1		4		2		4		2		4		1		3		3		3		1		4		3		4		2		1		1		1		3		4		4		2		1		4		4		1		2	4		1		1		1		1		3		3		3		4		1	3		1	1		1	1		1		1		1	6		2		7	"Geruch"	3		1		1		5		4	3	7	"Geschmack"	5	4	3		4		3	62	42	27	6	7	19	24	83	8	81	35	84	28	15	26	51	32	46	54	4	25	20	1	50	38	62	23	44	16	10	76	60	43	68	59	82	78	40	17	52	72	55	49	2	47	3	39	11	56	14	36	58	5	79	73	80	45	61	77	37	33	12	29	18	34	85	63	9	31	67	75	48	30	69	71	64	22	53	13	66	41	65	74	57	21	70	5	8	2	2	3	3	3	5	3	3	4	2	3	2	3	6	7	3	2	4	4	5	3	2	1	4	4	3	5	5	3	3	3	3	5	3	10	7	4	7	4	6	2	6	6	5	4	3	5	3	9	3	3	3	5	2	5	3	2	4	4	2	3	3	3	3	3	3	2	2	3	3	2	1	9	4	2	3	4	3	6	9	3	3	4	3	2	3	335		2021-02-23 12:27:40	T	F	88	88	0	0	1.34	21
109			"base"	"interview"	2021-02-23 12:22:26	1	T	"58"	"Deutsch"	1	4		7	"Erstaunen"	4		4		7	"Leise sein"	7	"Ich habe es verstanden."	4		7	"Ausrede, Entschuldigung"	7	"Erstaunen"	4		1		4		4		4		7	"Begrüßung"	4		2		3		2	2		4		1		1		2	1	1		7	"Erstaunen"	2		7	"Ist mir egal"	2		1		1		3		4		3		2		3		2		4		2		3		7	"Frage"	3		4		7	"oberflächlicher Mensch"	4		2		1		1		4		1		4	1		1		3		1		1		7	"etwas schneiden"	4		1		1		1	2		1	2		1	1		4		2		1	6		3		7	"Eigenschaft"	2		1		1		4		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	64	60	28	55	49	10	15	79	61	64	24	20	18	37	44	16	5	3	4	43	17	19	32	59	84	63	66	81	1	51	13	30	35	22	54	8	62	34	12	39	38	52	83	85	21	69	9	75	11	40	33	6	80	78	68	46	67	14	65	36	41	70	2	26	53	56	45	74	48	76	77	25	71	72	47	50	58	31	73	29	82	7	42	57	27	23	16	10	13	7	3	15	14	22	3	24	10	6	2	3	11	5	21	6	6	5	5	6	3	4	2	6	2	3	8	7	12	3	3	5	8	4	8	4	8	4	5	4	7	9	7	4	17	5	3	3	7	3	7	1	4	2	7	3	2	12	9	9	11	3	3	4	4	4	3	154	5	3	3	4	15	2	3	5	4	4	8	12	4	3	2	14	7	5	485		2021-02-23 12:34:33	T	F	88	88	0	0	0.92	8
110			"base"	"interview"	2021-02-23 12:22:31	1	T	"22"	"deutsch"	1	1		1		1		1		1		4		1		4		4		4		1		4		4		1		3		4		2		3		3	2		3		3		1		2	1	1		4		1		3		2		1		1		3		3		5		1		3		6		4		2		3		4		3		5		3		4		2		4		1		3		4		2	2		2		1		1		4		2		1		1		1		1	2		1	1		1	2		1		1		1	3		3		7	"einen Geruch"	2		1		4		5		4	3	7	"ein Geschmack "	5	4	2		7	"ein Geschmack"	3	90	46	58	51	49	36	61	34	81	9	30	33	41	45	70	73	11	38	63	77	28	16	42	76	60	50	3	1	12	23	55	19	29	62	75	10	82	83	84	78	17	14	31	56	13	79	32	39	25	66	68	57	65	7	6	21	4	18	64	72	53	52	26	15	27	74	85	20	47	37	69	24	80	43	54	35	8	5	59	44	22	67	2	40	48	71	234	24	39	3	124	5	3	5	3	3	4	180	4	3	7	5	16	6	5	5	2	3	12	2	3	15	3	4	3	11	70	7	4	3	5	7	16	5	2	11	3	2	24	6	3	3	3	9	3	5	4	11	12	3	10	3	2	3	3	4	2	5	3	91	14	3	5	2	2	5	4	3	2	14	14	2	6	6	6	6	39	8	5	4	3	266	6	3	453		2021-02-23 12:47:42	T	F	88	88	0	0	0.96	10
112			"base"	"interview"	2021-02-23 12:22:32	1	T	"58"	"deutsch"	1	4		4		4		4		1		4		4		4		4		4		5		4		4		4		3		4		2		4		2	2		3		1		2		1	1	4		4		2		4		4		2		1		3		6		6		2		3		2		4		2		4		7	"Frage"	1		4		4		4		2		2		1		4		1		4	1		7	"Knall"	1		1		1		1		1		1		4		1	2		1	2		1	1		4		2		1	3		3		7	"Geruch"	2		1		1		4		4	6	7	"Geschmack"	5	4	2		7	"Geschmack"	5	63	30	58	35	44	28	6	82	70	42	55	26	71	38	4	7	78	85	40	47	83	36	59	54	3	24	75	61	53	69	57	32	81	41	20	64	1	62	16	67	5	14	76	50	74	84	13	37	49	77	25	60	29	45	21	17	52	11	73	46	22	8	9	51	79	72	63	15	80	68	10	12	65	48	33	23	19	39	56	2	18	66	27	34	31	43	8	23	8	8	16	7	8	10	6	12	5	5	2	6	7	3	8	5	3	5	9	4	9	6	6	4	4	9	10	5	20	26	6	9	8	7	9	16	11	11	5	8	12	22	7	5	11	7	10	25	6	8	5	7	5	22	4	6	7	13	7	6	7	6	7	7	6	5	7	7	5	6	5	9	20	5	5	5	9	11	3	16	4	5	6	22	7	4	631		2021-02-23 12:35:03	T	F	88	88	0	0	0.64	1
113			"base"	"interview"	2021-02-23 12:22:39	1	T	"25"	"Deutsch"	2	1		1		1		1		1		1		3		3		4		4		1		1		4		1		4		4		2		4		2	3		3		1		1		1	1	1		2		2		4		2		2		1		3		3		3		4		5		4		2		2		4		4		3		3		3		2		2		2		1		4		3		1	1		1		1		1		1		3		2		1		1		1	3		1	1		3	1		1		1		1	3		3		3		3		1		1		3		3	3	7	"ein Geschmack"	3	4	2		4		3	78	30	41	70	54	44	36	61	57	43	10	81	80	5	75	48	37	40	62	68	85	63	84	31	55	2	29	46	12	69	7	23	45	27	33	59	67	47	20	3	25	22	28	35	64	49	38	17	24	76	21	66	1	14	51	73	16	58	60	65	78	19	39	42	74	77	15	9	82	11	34	79	52	56	26	50	8	13	71	72	53	83	32	6	4	18	124	7	1	4	3	2	5	3	1	6	2	3	2	3	3	2	4	3	4	3	2	2	4	3	2	4	2	2	4	2	3	5	4	3	3	4	2	7	7	3	3	2	7	3	2	3	3	3	4	4	1	3	1	3	2	6	2	1	1	4	3	2	3	4	3	2	2	3	1	1	1	4	2	5	4	2	2	2	4	2	4	10	4	2	3	5	5	2	285		2021-02-23 12:29:17	T	F	88	88	0	0	1.62	38
114			"base"	"interview"	2021-02-23 12:22:45	1	T	"19"	"deutsch"	1	4		1		4		5		1		1		4		4		4		4		1		4		4		4		3		4		4		4		6	1		1		7	"Belustigung, Begrüßung"	1		1	1	1		4		1		4		4		1		1		6		4		4		1		3		4		5		4		4		4		4		3		4		4		4		4		1		4		4		1	1		1		1		3		1		3		1		1		1		1	7	"eine Aktion"	1	1		1	1		1		4		1	6		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	66	14	49	10	84	66	43	75	35	37	79	27	30	54	78	69	5	34	8	72	45	58	25	18	48	47	85	1	32	36	15	64	16	38	76	39	73	63	53	46	22	29	81	71	24	2	41	51	13	19	80	60	42	70	68	6	11	55	74	21	23	33	50	40	82	61	9	62	52	28	20	57	12	83	77	4	17	31	3	67	59	44	26	56	65	7	14	12	4	8	3	4	3	1	5	17	6	3	3	2	4	12	5	5	7	3	5	2	9	38	3	5	2	3	4	2	5	8	4	9	12	6	15	5	17	5	7	7	9	3	32	8	6	5	7	34	7	4	5	2	4	2	3	3	3	8	3	3	3	4	22	4	4	5	3	5	17	3	2	4	12	3	5	3	4	5	9	7	6	3	4	20	3	3	464		2021-02-23 12:32:53	T	F	88	88	0	0	0.96	9
115			"base"	"interview"	2021-02-23 12:22:49	1	T	"34"	"Deutsch"	2	1		4		4		4		1		4		4		6		4		4		2		1		4		4		2		3		2		4		2	2		4		4		2		3	1	1		4		2		4		2		2		4		4		3		4		2		3		2		4		2		6		4		2		4		3		4		4		1		1		1		2		2	4		2		1		2		1		2		2		2		5		1	2		2	2		2	1		4		4		1	6		3		3		2		1		1		3		4	3	4		5	4	2		3		3	65	21	43	78	60	40	49	58	37	13	23	39	79	5	2	73	54	44	24	82	61	72	1	14	32	53	63	71	35	3	59	8	15	25	46	28	45	30	11	10	31	69	38	34	70	17	48	57	80	18	36	64	6	56	85	52	41	12	76	51	77	65	55	75	68	42	27	66	19	47	84	22	50	9	67	16	74	81	4	7	26	62	29	83	33	20	5	8	2	4	3	4	3	2	62	2	4	2	2	2	3	2	3	3	2	4	4	3	7	5	5	3	2	2	5	3	3	2	4	4	4	3	3	3	5	1	3	5	15	2	6	3	5	3	2	2	3	3	2	12	2	3	3	2	2	3	2	2	3	3	4	59	2	5	4	2	3	2	2	3	2	3	2	2	3	3	4	3	4	5	3	3	4	3	300		2021-02-23 12:29:43	T	F	88	88	0	0	1.48	29
